date,security_id,12M_MOMENTUM,R&D_EXP,SALES,TOTAL_ASSETS,WEEKLY_MOMENTUM
1990-03-01,1996480,,,2434817814,2147044534,0.07042843722
1990-12-07,1989065,,,2666486550,76376627614,0.06401939447
1991-03-01,1996480,-0.2882041958,,2791370692,2450407787,0.04223982299
1991-03-01,1988064,0.04465295867,,11654284678,36464926186,-0.02948705965
1991-12-04,1989065,0.4311439081,,2839000109,77106476706,-0.002159992051
1992-06-26,1976320,,,732270124.1,560125676.1,-0.04316630471
1992-11-27,1989065,-0.3986928105,,1799555510,69714216599,0.04702333736
1993-03-01,1969036,-0.1754415592,,34675000,116230000,0.02173563015
1993-03-01,1996480,-0.1463200352,,2061429491,2060528010,-0.06656537992
1993-03-01,1988560,-0.4527700926,,2466053299,4025697970,-0.02105005881
1993-03-01,1981117,-0.05192424153,,16665228621,46562775333,0.1163295844
1993-03-01,1988064,0.2678739919,,18705600115,118742838728,0.01010512766
1993-03-01,1989464,0.08043133597,,5399279397,163349492303,-0.02116646549
1993-06-29,1976320,-0.171297134,,810715952.6,625268365.5,0.00911797164
1993-11-26,1989065,0.6769579694,,2600203600,66155381206,0.002868504741
1993-11-30,2048071,-0.5555555556,,16174000,,-0.1578947368
1994-02-28,1954739,-0.03393360448,,108846416,138494114,-0.06756753106
1994-02-28,1967753,-0.02812460691,,885754000,13793995000,0.02127582872
1994-03-01,1969036,0.3195866195,,44964000,134105000,0
1994-03-01,1996480,0.4581670785,,2351346309,2216528823,0.03484117084
1994-03-01,1988560,0.4932900465,,2513522013,3873270440,-0.05541833461
1994-03-01,1981117,-0.01160061956,,17600413691,51797456477,-0.03494590328
1994-03-01,1988064,0.1649684458,,27795720145,143435896556,0.01116394659
1994-03-01,1989464,0.6571546024,,7343055556,240613888889,-0.07464819825
1994-04-28,1954065,0.8394652155,,40834492,,0.02325590267
1994-05-31,1969863,1.0000011,,400875,,0
1994-06-29,1976320,0.5548731731,,823628820.1,674681238.6,0.02378069347
1994-11-29,1989065,0.03366491767,,3349264820,77247987949,0.07102138897
1994-11-30,2048071,-0.1875,,13286000,9599000,0
1995-02-28,1966585,0.1689414937,,1173136256,1579249480,0.02275815455
1995-02-28,1967753,0.2456345599,,915682000,15104307000,0.005900226116
1995-02-28,1988064,-0.1378794431,,28324949306,155594875994,-0.02130521225
1995-02-28,1989464,-0.01778996975,,7136717483,317302951670,-0.002594868761
1995-02-28,1954245,0,,11966000,,0.3020833333
1995-02-28,2008340,0.03971441328,,1513955658,,-0.01605644054
1995-03-01,1996480,0.1803113665,,2859056733,2487764867,-0.01589189113
1995-03-01,1988560,-0.161297889,,1569295302,3256375839,-0.04925660854
1995-03-01,1981117,0.1438003254,,17502461200,63162197849,0.02824836311
1995-03-13,1971519,0.259099739,828739200,7089792000,,-0.02721947209
1995-03-23,1954739,-0.04307704399,,113836181,151912087,-0.02857146574
1995-04-28,1954065,-0.2584149966,,44607665,40791167,0.03333306122
1995-06-29,1976320,-0.3928589144,,976788665.9,812703660,-0.05184209576
1995-07-03,1969036,0.2230747134,,49241717,149797604,0.08904063583
1995-11-29,1989065,0.568414481,,3654177000,84271369501,0.02196768963
1996-01-16,2048071,-0.1538461538,,12017000,7256000,0.1
1996-02-29,1954291,,171000,511000,1084000,
1996-02-29,1954245,0.1997767857,,13031000,6410000,-0.02272727273
1996-02-29,1954739,0.2239265972,,143785139,171423690,0.02409635494
1996-02-29,1984920,,51788533.95,557339366,400259322.2,-0.0910657728
1996-02-29,1996562,,,2381763745,1209392352,-0.004179511175
1996-02-29,2008340,0.1542471743,,2026515152,1727127040,-0.1359751935
1996-02-29,1966585,0.2967575613,,1382575758,1777389277,0.002112271059
1996-02-29,1996480,0.3600177871,815220610,3620669233,3283831803,0.02578368188
1996-02-29,2047493,0.1512165869,,5043382139,22354498834,-0.005479140166
1996-02-29,1981117,0.08315467484,,22128155000,82565642000,0.0495455225
1996-02-29,1988064,0.4689988004,,30506208593,187157138890,0.01280876808
1996-03-15,1967753,0.5161201319,,1081388000,19168300000,-0.00604897206
1996-04-01,1969036,0.01470546377,,53237303,205486247,0
1996-04-29,1989464,0.1216199085,,7341874797,334677262407,-0.00239032757
1996-05-23,1954065,0.653882486,,49184383,42621310,0
1996-06-27,1976320,0.2561336555,,806258565.6,627099132,0.06788154777
1996-06-30,1955280,0.1738456096,,,66092641.87,0.003521504799
1996-10-31,1957233,0.1505804664,,114094265,325828920.9,0.03145690837
1996-11-29,1989065,0.5609676424,,4279248300,103831374801,0.03149147716
1996-12-30,2048071,-0.4545454545,,13750000,7475000,0
1996-12-31,1956162,0.5080001267,,5019347302,153487625027,0.02158449255
1997-02-05,1966585,0.5402085946,,1561429635,2102755026,0.003485498353
1997-02-21,1996562,0.4008081864,,2788130957,1453760583,-0.04921542158
1997-02-28,1988574,-0.1669389922,,34292096.46,130791336.8,-0.005443112364
1997-02-28,1971519,0.5537682908,,8734718101,8143500001,-0.0399638955
1997-02-28,1972156,,449000000,82079000000,73247000000,
1997-03-01,1984920,0.3721995823,65920130.66,701452505.1,565462304.4,-0.09616377476
1997-03-01,1996480,0.3486762732,761991216,3353535623,3103498912,-0.02067401866
1997-03-14,1967753,1.208381412,,1148184000,19767420000,-0.008403346367
1997-03-20,1954739,0.110037994,,162402805,188170344,-0.06796116082
1997-03-24,1954291,,2313000,15746000,8271000,
1997-03-26,1954416,,,1358644000,1036068000,0.00826446281
1997-03-31,1955072,0.6883716563,,22811.70943,1222053.488,-0.1413597415
1997-03-31,1969036,-0.079708844,,63851729,214454826,-0.01550303233
